t_start_s,dwell_s,center_mhz
25.500,0.100,1250
25.600,0.100,9500
25.700,0.100,5750
25.800,0.100,9500
25.900,0.100,4500
26.000,0.100,3000
26.100,0.100,9500
26.200,0.100,5500
26.300,0.100,9500
26.400,0.100,5750
26.500,0.100,9000
26.600,0.100,3250
26.700,0.100,250
26.800,0.100,3000
26.900,0.100,9500
27.000,0.100,1250
27.100,0.100,9500
27.200,0.100,5500
27.300,0.100,1750
27.400,0.100,9500
27.500,0.100,3250
27.600,0.100,750
27.700,0.100,9500
27.800,0.100,9000
27.900,0.100,5500
28.000,0.100,9500
28.100,0.100,9500
28.200,0.100,1500
28.300,0.100,1250
28.400,0.100,3000
28.500,0.100,9500
28.600,0.100,5250
28.700,0.100,9000
28.800,0.100,5500
28.900,0.100,15500
29.000,0.100,1000
29.100,0.100,9500
29.200,0.100,5750
29.300,0.100,9500
29.400,0.100,5500
29.500,0.100,3250
29.600,0.100,3000
29.700,0.100,9000
29.800,0.100,9500
29.900,0.100,9500
